t,steps_j4,steps_j5,steps_j6,deg_j6_cmd,enc_j6_raw,enc_valid
10.3536,0,0,0,0.000,0,1
10.3743,0,0,0,0.000,0,1
10.3948,0,0,0,0.000,0,1
10.4157,0,0,0,0.000,0,1
10.4388,0,0,0,0.000,0,1
10.4590,0,0,0,0.000,0,1
10.4806,0,0,0,0.000,0,1
10.5061,0,0,0,0.000,0,1
10.5270,0,0,0,0.000,0,1
10.5474,0,0,0,0.000,0,1
10.5676,0,0,0,0.000,0,1
10.5880,0,0,0,0.000,0,1
10.6087,0,0,0,0.000,0,1
10.6290,0,0,0,0.000,0,1
10.6497,0,0,0,0.000,0,1
10.6708,0,0,0,0.000,0,1
10.6912,0,0,0,0.000,0,1
10.7115,0,0,0,0.000,0,1
10.7318,0,0,0,0.000,0,1
10.7523,0,0,0,0.000,0,1
10.7728,0,0,0,0.000,0,1
10.7934,0,0,0,0.000,0,1
10.8145,0,0,0,0.000,0,1
10.8351,0,0,0,0.000,0,1
10.8555,0,0,0,0.000,0,1
10.8758,0,0,0,0.000,0,1
10.8963,0,0,0,0.000,0,1
10.9166,0,0,0,0.000,0,1
10.9370,0,0,0,0.000,0,1
10.9577,0,0,0,0.000,0,1
10.9782,0,0,0,0.000,0,1
10.9989,0,0,0,0.000,0,1
11.0202,0,0,0,0.000,0,1
11.0412,0,0,0,0.000,0,1
11.0617,0,0,0,0.000,0,1
11.0819,0,0,0,0.000,0,1
11.1023,0,0,0,0.000,0,1
11.1230,0,0,0,0.000,0,1
11.1438,0,0,0,0.000,0,1
11.1642,0,0,0,0.000,0,1
11.1844,0,0,0,0.000,0,1
11.2046,0,0,0,0.000,0,1
11.2250,0,0,0,0.000,0,1
11.2456,0,0,0,0.000,0,1
11.2660,0,0,0,0.000,0,1
11.2864,0,0,0,0.000,0,1
11.3077,0,0,0,0.000,0,1
11.3280,0,0,0,0.000,0,1
11.3483,0,0,0,0.000,0,1
11.3721,0,0,0,0.000,0,1
11.3935,0,0,0,0.000,0,1
11.4139,0,0,0,0.000,0,1
11.4345,0,0,0,0.000,0,1
11.4551,0,0,0,0.000,0,1
11.4754,0,0,0,0.000,0,1
11.4958,0,0,0,0.000,0,1
11.5165,0,0,0,0.000,0,1
11.5369,0,0,0,0.000,0,1
11.5571,0,0,0,0.000,0,1
11.5773,0,0,0,0.000,0,1
11.5974,0,0,0,0.000,0,1
11.6177,0,0,0,0.000,0,1
11.6380,0,0,0,0.000,0,1
11.6583,0,0,0,0.000,0,1
11.6788,0,0,0,0.000,0,1
11.6992,0,0,0,0.000,0,1
11.7197,0,0,0,0.000,0,1
11.7400,0,0,0,0.000,0,1
11.7606,0,0,0,0.000,0,1
11.7811,0,0,0,0.000,0,1
11.8013,0,0,0,0.000,0,1
11.8217,0,0,0,0.000,0,1
11.8420,0,0,0,0.000,0,1
11.8623,0,0,0,0.000,0,1
11.8825,0,0,0,0.000,0,1
11.9030,0,0,0,0.000,0,1
11.9237,0,0,0,0.000,0,1
11.9443,0,0,0,0.000,0,1
11.9649,0,0,0,0.000,0,1
11.9854,0,0,0,0.000,0,1
12.0056,0,0,0,0.000,0,1
12.0265,0,0,0,0.000,0,1
12.0470,0,0,0,0.000,0,1
12.0672,0,0,0,0.000,0,1
12.0876,0,0,0,0.000,0,1
12.1080,0,0,0,0.000,0,1
12.1285,0,0,0,0.000,0,1
12.1486,0,0,0,0.000,0,1
12.1690,0,0,0,0.000,0,1
12.1897,0,0,0,0.000,0,1
12.2100,0,0,0,0.000,0,1
12.2302,0,0,0,0.000,0,1
12.2504,0,0,0,0.000,0,1
12.2706,0,0,0,0.000,0,1
12.2910,0,0,0,0.000,0,1
12.3111,0,0,0,0.000,0,1
12.3313,0,0,0,0.000,0,1
12.3518,0,0,0,0.000,0,1
12.3725,0,0,0,0.000,0,1
12.3928,0,0,0,0.000,0,1
12.4132,0,0,0,0.000,0,1
12.4336,0,0,0,0.000,0,1
12.4546,0,0,0,0.000,0,1
12.4750,0,0,0,0.000,0,1
12.4954,0,0,0,0.000,0,1
12.5156,0,0,0,0.000,0,1
12.5358,0,0,0,0.000,0,1
12.5563,0,0,0,0.000,0,1
12.5796,0,0,0,0.000,0,1
12.6084,0,0,0,0.000,0,1
12.6295,0,0,0,0.000,0,1
12.6637,0,0,0,0.000,0,1
12.6877,0,0,0,0.000,0,1
12.7207,0,0,0,0.000,0,1
12.7479,0,0,0,0.000,0,1
12.7718,0,0,0,0.000,0,1
12.7944,0,0,0,0.000,0,1
12.8161,0,0,0,0.000,0,1
12.8386,0,0,0,0.000,0,1
12.8649,0,0,0,0.000,0,1
12.8903,0,0,0,0.000,0,1
12.9150,0,0,0,0.000,0,1
12.9382,0,0,0,0.000,0,1
12.9584,0,0,0,0.000,0,1
12.9842,0,0,0,0.000,0,1
13.0052,0,0,0,0.000,0,1
13.0266,0,0,0,0.000,0,1
13.0510,0,0,0,0.000,0,1
13.0729,0,0,0,0.000,0,1
13.0970,0,0,0,0.000,0,1
13.1239,0,0,0,0.000,0,1
13.1474,0,0,0,0.000,0,1
13.1684,0,0,0,0.000,0,1
13.1956,0,0,0,0.000,0,1
13.2167,0,0,0,0.000,0,1
13.2385,0,0,0,0.000,0,1
13.2589,0,0,0,0.000,0,1
13.2811,0,0,0,0.000,0,1
13.3014,0,0,0,0.000,0,1
13.3241,0,0,0,0.000,0,1
13.3445,0,0,0,0.000,0,1
13.3655,0,0,0,0.000,0,1
13.3873,0,0,0,0.000,0,1
13.4082,0,0,0,0.000,0,1
13.4309,0,0,0,0.000,0,1
13.4520,0,0,0,0.000,0,1
13.4725,0,0,0,0.000,0,1
13.4930,0,0,0,0.000,0,1
13.5135,0,0,0,0.000,0,1
13.5336,0,0,0,0.000,0,1
13.5542,0,0,0,0.000,0,1
13.5751,0,0,0,0.000,0,1
13.5954,0,0,0,0.000,0,1
13.6161,0,0,0,0.000,0,1
13.6364,0,0,0,0.000,0,1
13.6567,0,0,0,0.000,0,1
13.6776,0,0,0,0.000,0,1
13.6989,0,0,0,0.000,0,1
13.7293,0,0,0,0.000,0,1
13.7550,0,0,0,0.000,0,1
13.7756,0,0,0,0.000,0,1
13.7979,0,0,0,0.000,0,1
13.8184,0,0,0,0.000,0,1
13.8392,0,0,0,0.000,0,1
13.8671,0,0,0,0.000,0,1
13.8877,0,0,0,0.000,0,1
13.9088,0,0,0,0.000,0,1
13.9291,0,0,0,0.000,0,1
13.9497,0,0,0,0.000,0,1
13.9701,0,0,0,0.000,0,1
13.9910,0,0,0,0.000,0,1
14.0116,0,0,0,0.000,0,1
14.0319,0,0,0,0.000,0,1
14.0522,0,0,0,0.000,0,1
14.0723,0,0,0,0.000,0,1
14.0925,0,0,0,0.000,0,1
14.1150,0,0,0,0.000,0,1
14.1359,0,0,0,0.000,0,1
14.1579,0,0,0,0.000,0,1
14.1789,0,0,0,0.000,0,1
14.2006,0,0,0,0.000,0,1
14.2218,0,0,0,0.000,0,1
14.2421,0,0,0,0.000,0,1
14.2670,0,0,0,0.000,0,1
14.2892,0,0,0,0.000,0,1
14.3099,0,0,0,0.000,0,1
14.3307,0,0,0,0.000,0,1
14.3518,0,0,0,0.000,0,1
14.3727,0,0,0,0.000,0,1
14.3932,0,0,0,0.000,0,1
14.4137,0,0,0,0.000,0,1
14.4344,0,0,0,0.000,0,1
14.4551,0,0,0,0.000,0,1
14.4754,0,0,0,0.000,0,1
14.4956,0,0,0,0.000,0,1
14.5163,0,0,0,0.000,0,1
14.5366,0,0,0,0.000,0,1
14.5569,0,0,0,0.000,0,1
14.5771,0,0,0,0.000,0,1
14.5974,0,0,0,0.000,0,1
14.6183,0,0,0,0.000,0,1
14.6387,0,0,0,0.000,0,1
14.6597,0,0,0,0.000,0,1
14.6807,0,0,0,0.000,0,1
14.7012,0,0,0,0.000,0,1
14.7217,0,0,0,0.000,0,1
14.7421,0,0,0,0.000,0,1
14.7632,0,0,0,0.000,0,1
14.7835,0,0,0,0.000,0,1
14.8038,0,0,0,0.000,0,1
14.8249,0,0,0,0.000,0,1
14.8463,0,0,0,0.000,0,1
14.8678,0,0,0,0.000,0,1
14.8889,0,0,0,0.000,0,1
14.9095,0,0,0,0.000,0,1
14.9301,0,0,0,0.000,0,1
14.9505,0,0,0,0.000,0,1
14.9707,0,0,0,0.000,0,1
14.9910,0,0,0,0.000,0,1
15.0113,0,0,0,0.000,0,1
15.0314,0,0,0,0.000,0,1
15.0518,0,0,0,0.000,0,1
15.0721,0,0,0,0.000,0,1
15.0922,0,0,0,0.000,0,1
15.1141,0,0,0,0.000,0,1
15.1362,0,0,0,0.000,0,1
15.1571,0,0,0,0.000,0,1
15.1775,0,0,0,0.000,0,1
15.1980,0,0,0,0.000,0,1
15.2218,0,0,0,0.000,0,1
15.2492,0,0,0,0.000,0,1
15.2753,0,0,0,0.000,0,1
15.2986,0,0,0,0.000,0,1
15.3190,0,0,0,0.000,0,1
15.3397,0,0,0,0.000,0,1
15.3610,0,0,0,0.000,0,1
15.3813,0,0,0,0.000,0,1
15.4020,0,0,0,0.000,0,1
15.4225,0,0,0,0.000,0,1
15.4427,0,0,0,0.000,0,1
15.4630,0,0,0,0.000,0,1
15.4841,0,0,0,0.000,0,1
15.5076,0,0,0,0.000,0,1
15.5278,0,0,0,0.000,0,1
15.5481,0,0,0,0.000,0,1
15.5685,0,0,0,0.000,0,1
15.5893,0,0,0,0.000,0,1
15.6096,0,0,0,0.000,0,1
15.6298,0,0,0,0.000,0,1
15.6503,0,0,0,0.000,0,1
15.6706,0,0,0,0.000,0,1
15.6913,0,0,0,0.000,0,1
15.7115,0,0,0,0.000,0,1
15.7325,0,0,0,0.000,0,1
15.7554,0,0,0,0.000,0,1
15.7776,0,0,0,0.000,0,1
15.8264,0,0,0,0.000,0,1
